smiles,right_block,photo_block,catalytic_block,inhibitor_block
[H]C(=NC1=NC([H])=C([H])C(C2=NC([H])=C([N+](=O)[O-])S2)=C1[H])C1=C([H])C(C([H])([H])C(=O)N([H])C(=O)N([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])=C([H])C(N=NC2=C([H])C([H])=C([H])C([H])=C2[H])=C1[H],CC(C)C[*:2],[H]/C(=N\c1nc([H])c([H])c(Br)c1[H])c1c([H])c(Br)c([H])c(/N=N\c2c([H])c([H])c([H])c([H])c2[H])c1[H],O=C(C[*:2])NC(=O)NC[*:1],O=[N+]([O-])c1cnc([*:2])s1
[H]C1=NC2=C([H])C([H])=C(N([N+](=O)[O-])C([H])([H])[H])C(N=NC3=NC4=C(N=C(C5=C([H])C([H])=C([H])C([H])=C5[H])N([H])C(=S)N([H])C5=C([H])C([H])=C(C6=C([H])C([H])=C(C([H])([H])[H])C([H])=C6[H])C([H])=C5[H])C([H])=C([H])C([H])=C4N3[H])=C2C([H])=C1[H],Cc1ccc([*:2])cc1,[H]c1nc2c([H])c([H])c(Br)c(/N=N\c3nc4c(Br)c([H])c([H])c([H])c4n3[H])c2c([H])c1[H],S=C(NC(=N[*:2])c1ccccc1)Nc1ccc([*:1])cc1,CN([N+](=O)[O-])[*:2]
[H]C1=C([H])N(OC2=C([H])C([H])=C(N([H])C(=O)N([H])C3=C([H])C([H])=C(OC([H])([H])[H])C([H])=C3[H])C([H])=C2[H])C(N=NC2=C([H])C([H])=C([H])C(C3=C([H])C([H])=C(OC([H])([H])[H])C([H])=C3[N+](=O)[O-])=C2[H])=N1,CO[*:2],[H]c1nc(/N=N\c2c([H])c([H])c([H])c(Br)c2[H])n(Br)c1[H],O=C(Nc1ccc(O[*:1])cc1)Nc1ccc([*:2])cc1,COc1ccc([*:2])c([N+](=O)[O-])c1
[H]C1=C([H])C([H])=C(C([H])([H])C([H])([H])C(=O)N([H])C(=S)N([H])C2=C([H])C(OC([H])([H])[H])=C([H])C([H])=C2OC([H])([H])[H])C(N=NC2=NC3=C([H])C([H])=C([H])C(C4=C([H])C([H])=C([N+](=O)[O-])C([H])=C4[H])=C3S2)=C1[H],COc1ccc(OC)c([*:2])c1,[H]c1c([H])c([H])c(/N=N\c2nc3c([H])c([H])c([H])c(Br)c3s2)c(Br)c1[H],O=C(CC[*:1])NC(=S)N[*:2],O=[N+]([O-])c1ccc([*:2])cc1
[H]C1=NN(C2=C([H])C([H])=C([N+](=O)[O-])C([H])=C2[H])C(N=NC2=C(C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])N([H])C(=S)N([H])C3=C([H])C(N([H])C(=O)C4=C([H])C(C(F)(F)F)=C([H])C(C(F)(F)F)=C4[H])=C([H])C(C(F)(F)F)=C3[H])C([H])=NN2[H])=C1[H],O=C(N[*:2])c1cc(C(F)(F)F)cc(C(F)(F)F)c1,[H]c1nn(Br)c(/N=N\c2c(Br)c([H])nn2[H])c1[H],FC(F)(F)c1cc(NC(=S)N[C@@H]2CCCC[C@H]2[*:2])cc([*:1])c1,O=[N+]([O-])c1ccc([*:2])cc1
[H]C1=C([H])C(C2=C([H])C([N+](=O)[O-])=C([H])C([H])=C2N([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])=C2C(=C1[H])C(N=NC1=NN=C(N([H])C(=O)N([H])C([H])(N([H])C(=O)C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])S1)=C([H])N2[H],CC(=O)N[C@@H](C(C)C)[*:2],[H]c1c([H])c(Br)c2c(c1[H])c(/N=N/c1nnc(Br)s1)c([H])n2[H],O=C(N[*:1])N[*:2],O=[N+]([O-])c1ccc(NC2CCCCC2)c([*:2])c1
[H]C1=C([H])C(C([H])([H])N([H])C(=O)N([H])C2=C([H])C(C(F)(F)F)=C([H])C([H])=C2OC([H])([H])C([H])(N([H])C(=S)N([H])C([H])([H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])=C([H])C([H])=C1N=NC1=NC2=C([H])C(C([H])([H])N([N+](=O)[O-])C([H])([H])[H])=C([H])C([H])=C2S1,CC[*:2],[H]c1c([H])c(/N=N\c2nc3c([H])c(Br)c([H])c([H])c3s2)c([H])c([H])c1Br,CC(C)(C)[C@@H](COc1ccc(C(F)(F)F)cc1NC(=O)NC[*:1])NC(=S)N[*:2],CN(C[*:2])[N+](=O)[O-]
[H]OC1=C([H])C([H])=C([H])C([H])=C1C(=O)N([H])N=C(N(C1=C([H])C([H])=C([H])C([H])=C1[H])C1=C([H])C([H])=C([H])C([H])=C1[H])C(N([H])C(=O)N([H])C1=C([H])C([H])=C(C2=C([H])SC(N=NC3=C4C([H])=C([H])C([H])=NC4=C([H])C(C4=C([H])C([H])=C([H])C([H])=C4N=C([H])C4=C([H])C([H])=C([N+](=O)[O-])C([H])=C4[H])=C3[H])=N2)C([H])=C1[H])(C([H])([H])[H])C([H])([H])[H],c1ccc([*:2])cc1,[H]c1nc2c([H])c(Br)c([H])c(/N=N\c3nc(-c4c([H])c([H])c(Br)c([H])c4[H])c([H])s3)c2c([H])c1[H],CC(C)(NC(=O)N[*:2])C(=NNC(=O)c1ccccc1O)N(c1ccccc1)[*:1],O=[N+]([O-])c1ccc(C=Nc2ccccc2[*:2])cc1
[H]OC([H])([H])C([H])(N([H])C(=S)N([H])C(=O)C1=C([H])C([H])=C(C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1N=NC1=C(C2=C([H])C([H])=C([N+](=O)[O-])C([H])=N2)N([H])C(=O)N([H])C1=O,c1ccc([*:2])cc1,[H]c1c([H])c([H])c(/N=N\c2c(Br)n([H])c(=O)n([H])c2=O)c(Br)c1[H],O=C(NC(=S)N[C@@H](CO)C[*:2])c1ccc([*:1])cc1,O=[N+]([O-])c1ccc([*:2])nc1
[H]C1=C(N=NC2=C([H])C([H])=C([H])C([H])=C2C2=C([H])C([H])=C(OC([H])([H])[H])C([H])=C2N([H])C(=S)N([H])C(=O)C([H])([H])OC([H])([H])[H])SC(C2=C([H])C([H])=C([N+](=O)[O-])C([H])=C2Cl)=C1[H],CO[*:2],[H]c1c(Br)sc(/N=N\c2c([H])c([H])c([H])c([H])c2Br)c1[H],COc1ccc([*:2])c(NC(=S)NC(=O)C[*:1])c1,O=[N+]([O-])c1ccc([*:2])c(Cl)c1
[H]C1=NOC(C2=C([H])C([H])=C([N+](=O)[O-])C([H])=C2Cl)=C1N=NC1=C([H])C([H])=C([H])C2=C([H])C([H])=C(N([H])C(=O)N([H])C3=NC(N([H])C(=O)N([H])C([H])([H])C([H])([H])[H])=C([H])C([H])=C3[H])C([H])=C12,CCNC(=O)Nc1cccc([*:2])n1,[H]c1noc(Br)c1/N=N\c1c([H])c([H])c([H])c2c([H])c([H])c(Br)c([H])c12,O=C(N[*:1])N[*:2],O=[N+]([O-])c1ccc([*:2])c(Cl)c1
[H]OC1=C([H])C([H])=C([N+](=O)[O-])C([H])=C1C1=C([H])C(N=NC2=C([H])C([H])=C([H])C([H])=C2C2=NC(N([H])C(=S)N([H])C(=O)C3=C([H])C([H])=C(C4=C([H])C([H])=C(Cl)C([H])=C4C(F)(F)F)O3)=NC(C([H])([H])[H])=C2[H])=NN1[H],FC(F)(F)c1cc(Cl)ccc1[*:2],[H]c1c([H])c([H])c(/N=N\c2nn([H])c(Br)c2[H])c(Br)c1[H],Cc1cc([*:1])nc(NC(=S)NC(=O)c2ccc([*:2])o2)n1,O=[N+]([O-])c1ccc(O)c([*:2])c1
[H]C(=NC1=NC([H])=C([H])C(C2=C([H])C([H])=C([N+](=O)[O-])C([H])=N2)=C1[H])C1=C([H])C(C([H])(C2=C([H])C([H])=C([H])C(C([H])(C([H])([H])[H])C([H])([H])[H])=C2N([H])C(=S)N([H])C(=O)C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])([H])[H])=C([H])C(N=NC2=C([H])C([H])=C([H])C([H])=C2[H])=C1[H],C[*:2],[H]/C(=N\c1nc([H])c([H])c(Br)c1[H])c1c([H])c(Br)c([H])c(/N=N\c2c([H])c([H])c([H])c([H])c2[H])c1[H],CC(c1cccc(C(C)[*:2])c1NC(=S)NC(=O)c1ccccc1)[*:1],O=[N+]([O-])c1ccc([*:2])nc1
[H]C1=NC(C2=C([H])C([H])=C3N=C(N=NC4=C([H])C([H])=C([H])C5=NC(N([H])C(=S)N([H])C([H])([H])C6(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C7(C8([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C8([H])N([H])[H])C8=C([H])C([H])=C(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])=C8C([H])([H])C([H])([H])C76[H])=C([H])C([H])=C54)SC3=C2[H])=C([H])C([H])=C1[N+](=O)[O-],N[C@H]1CCCC[C@H]1[*:2],[H]c1c(Br)c([H])c2sc(/N=N\c3c([H])c([H])c([H])c4nc(Br)c([H])c([H])c34)nc2c1[H],CC(C)c1ccc2c(c1)CCC1[C@](C)(CNC(=S)N[*:2])CCC[C@@]21[*:1],O=[N+]([O-])c1ccc([*:2])nc1
[H]C1=NC([H])=C(N=NC2=C([H])ON=C2C2=C([H])C([H])=C([N+](=O)[O-])C([H])=C2OC([H])([H])[H])C(N([H])C(=S)N([H])C(=O)C2=C([H])C([H])=C(OC3=C([H])C([H])=C([H])C([H])=C3Cl)C([H])=C2[H])=C1[H],Clc1ccccc1[*:2],[H]c1nc([H])c(/N=N\c2c(Br)noc2[H])c(Br)c1[H],O=C(NC(=S)N[*:2])c1ccc(O[*:1])cc1,COc1cc([N+](=O)[O-])ccc1[*:2]
[H]C1=C([H])C(C([H])([H])N([N+](=O)[O-])C([H])([H])[H])=C2C(N=NC3=NN=C(C4=C([H])C([H])=C(N([H])C(=O)N([H])C5=C([H])C([H])=C6C(=N5)N([H])C(=O)C([H])=C6C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])=C4[H])S3)=C([H])N([H])C2=C1[H],CCCCc1cc(=O)[nH]c2nc([*:2])ccc12,[H]c1c([H])c([H])c2c(c1Br)c(/N=N/c1nnc(Br)s1)c([H])n2[H],O=C(Nc1ccc([*:1])cc1)N[*:2],CN(C[*:2])[N+](=O)[O-]
[H]C1=NC2=C([H])C([H])=C(C3=C([H])C([H])=C([H])C([H])=C3[N+](=O)[O-])C(N=NC3=C([H])C([H])=C([H])C([H])=C3C([H])(N([H])C(=S)N([H])C([H])([H])[H])P(=O)(OC3=C([H])C([H])=C([H])C([H])=C3[H])OC3=C([H])C([H])=C([H])C([H])=C3[H])=C2C([H])=C1[H],c1ccc([*:2])cc1,[H]c1nc2c([H])c([H])c(Br)c(/N=N\c3c([H])c([H])c([H])c([H])c3Br)c2c([H])c1[H],CNC(=S)N[C@H](P(=O)(Oc1ccccc1)O[*:2])[*:1],O=[N+]([O-])c1ccccc1[*:2]
[H]C1=NC(C2=C(N=NC3=C([H])C([H])=C(C(N([H])C(=O)N([H])C(C([H])([H])[H])(C([H])([H])C([H])([H])C([H])=C(C([H])([H])[H])C([H])([H])[H])C4([H])C([H])([H])C([H])=C(C([H])([H])[H])C([H])([H])C4([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])=C(C([H])([H])[H])C([H])([H])[H])C([H])=C3[H])N([H])C([H])=N2)=C([H])C([H])=C1[N+](=O)[O-],CC1=CC[C@H]([*:2])CC1,[H]c1c([H])c(/N=N\c2c(Br)nc([H])n2[H])c([H])c([H])c1Br,CC(C)=CCC[C@@](C)(NC(=O)N[C@@](C)(CCC=C(C)C)[*:2])[*:1],O=[N+]([O-])c1ccc([*:2])nc1
[H]C1=C([H])C([H])=C(N=NC2=C([H])C([H])=C(OC3=C([H])C([H])=C(C4=C([H])C(C([H])([H])C([H])([H])N([H])C(=O)N([H])C([H])([H])C([H])([H])C5=C([H])C([H])=C(OC([H])([H])[H])C(OOC([H])([H])[H])=C5[H])=C([H])C([H])=C4OC([H])([H])[H])C([H])=C3[H])C([H])=C2[H])C2=C([H])C([H])=C(C3=C([H])C([N+](=O)[O-])=C([H])C([H])=C3Cl)N=C12,CO[*:2],[H]c1c([H])c(Oc2c([H])c([H])c(/N=N\c3c([H])c([H])c([H])c4nc(Br)c([H])c([H])c34)c([H])c2[H])c([H])c([H])c1Br,COc1ccc(CCNC(=O)NCCc2ccc(OC)c([*:2])c2)cc1O[*:1],O=[N+]([O-])c1ccc(Cl)c([*:2])c1
[H]OC([H])([H])C([H])([H])C1=C([H])C([H])=C(N([H])C(=O)N([H])C2=C([H])C(OC3=C([H])C([H])=C(N=NC4=C(C5=C([H])C([H])=C([H])C([H])=C5N=C([H])C5=C([H])C([H])=C([N+](=O)[O-])C([H])=C5[H])N=C([H])N4[H])C([H])=C3[H])=C([H])C([H])=C2OC([H])([H])[H])C([H])=C1[H],OCCc1ccc([*:2])cc1,[H]c1c([H])c(/N=N\c2c(Br)nc([H])n2[H])c([H])c([H])c1Br,COc1ccc(O[*:1])cc1NC(=O)N[*:2],O=[N+]([O-])c1ccc(C=Nc2ccccc2[*:2])cc1
[H]C1=C([H])C(C([H])([H])N([H])C(=O)C2=C([H])C(N([H])C(=O)N([H])C3=C([H])C([H])=C(OC([H])([H])[H])C(C(=O)N([H])C([H])([H])C([H])([H])[H])=C3[H])=C([H])C([H])=C2OC([H])([H])[H])=C([H])C([H])=C1N=NC1=NC2=C([H])C(C3=C([H])C([N+](=O)[O-])=C([H])C([H])=C3Cl)=C([H])C([H])=C2S1,C[*:2],[H]c1c([H])c(/N=N\c2nc3c([H])c(Br)c([H])c([H])c3s2)c([H])c([H])c1Br,CCNC(=O)c1cc(NC(=O)Nc2ccc(OC)c(C(=O)NC[*:1])c2)ccc1O[*:2],O=[N+]([O-])c1ccc(Cl)c([*:2])c1
[H]C1=NC2=C([H])C([H])=C([H])C(N=NC3=C([H])C([H])=C(C4=C([H])C([H])=C([N+](=O)[O-])C([H])=[N+]4[O-])C([H])=C3[H])=C2C(S(=O)(=O)N([H])C(=O)N([H])C2=NC(OC([H])([H])[H])=C([H])C(Cl)=N2)=C1[H],COc1cc(Cl)nc([*:2])n1,[H]c1nc2c([H])c([H])c([H])c(/N=N\c3c([H])c([H])c(Br)c([H])c3[H])c2c(Br)c1[H],O=C(NS(=O)(=O)[*:1])N[*:2],O=[N+]([O-])c1ccc([*:2])[n+]([O-])c1
[H]OC1=C([H])C([H])=C([N+](=O)[O-])C([H])=C1C#CC1=C([H])C([H])=C([H])C([H])=C1C1=C([H])C(N=NC2=NC(C3=C([H])C([H])=C([H])C([H])=C3C([H])([H])C([H])([H])N([H])C(=S)N([H])C([H])([H])SC([H])([H])C3=C([H])C([H])=C([H])C([H])=N3)=C([H])S2)=C2C([H])=C([H])C([H])=NC2=C1[H],c1ccc(CS[*:2])nc1,[H]c1nc2c([H])c(Br)c([H])c(/N=N\c3nc(-c4c([H])c([H])c([H])c([H])c4Br)c([H])s3)c2c([H])c1[H],S=C(NCC[*:2])NC[*:1],O=[N+]([O-])c1ccc(O)c(C#Cc2ccccc2[*:2])c1
[H]C1=C([H])C2=C(N=NC3=NC4=C([H])C([H])=C([H])C([H])=C4N3C([H])([H])N([N+](=O)[O-])C([H])([H])[H])C([H])=C([H])C([H])=C2N=C1C1=C(C2=C3C([H])=C([H])C([H])=C([H])C3=C([H])C([H])=C2N([H])C(=S)N([H])P(C2=C([H])C([H])=C([H])C([H])=C2[H])C2=C([H])C([H])=C([H])C([H])=C2[H])C2=C([H])C([H])=C([H])C([H])=C2C([H])=C1[H],c1ccc(P(c2ccccc2)[*:2])cc1,[H]c1c([H])c(/N=N\c2nc3c([H])c([H])c([H])c([H])c3n2Br)c2c([H])c([H])c(Br)nc2c1[H],S=C(Nc1ccc2ccccc2c1-c1c([*:2])ccc2ccccc12)N[*:1],CN(C[*:2])[N+](=O)[O-]
[H]C1=NC2=C(C3=C(C4=C([H])C([H])=C([H])C([N+](=O)[O-])=C4[H])C(C(=O)OC([H])([H])C([H])([H])[H])=C(N([H])[H])S3)C([H])=C([H])C(N=NC3=NC4=C([H])C(N5C(=O)N(C([H])([H])[H])C(=O)N(C([H])([H])[H])P5(=O)N(C([H])([H])C([H])([H])Cl)C([H])([H])C([H])([H])Cl)=C([H])C([H])=C4S3)=C2C([H])=C1[H],C[*:2],[H]c1nc2c(Br)c([H])c([H])c(/N=N\c3nc4c([H])c(Br)c([H])c([H])c4s3)c2c([H])c1[H],CN1C(=O)N([*:1])P(=O)(N(CCCl)CCCl)N([*:2])C1=O,CCOC(=O)c1c(N)sc([*:2])c1-c1cccc([N+](=O)[O-])c1
[H]C1=NC(C2=C([H])C([H])=C([N+](=O)[O-])C([H])=C2[H])=C([H])C([H])=C1N=NC1=C([H])C([H])=C(N([H])C(=S)N([H])C(=O)OC2=C([H])C([H])=C([H])C([H])=C2OC([H])([H])[H])C([H])=C1[H],COc1ccccc1[*:2],[H]c1nc(Br)c([H])c([H])c1/N=N\c1c([H])c([H])c(Br)c([H])c1[H],O=C(NC(=S)N[*:2])O[*:1],O=[N+]([O-])c1ccc([*:2])cc1
[H]C1=C([H])C([N+](=O)[O-])=C([H])C(N=NC2=C(N([H])C(=O)N([H])C3=NN(C([H])([H])[H])C(C(C4=C([H])C([H])=C(Cl)C([H])=C4[H])(C([H])([H])[H])C([H])([H])[H])=C3[H])N([H])C([H])=C2[H])=C1[H],Clc1ccc([*:2])cc1,[H]c1c([H])c(Br)c([H])c(/N=N\c2c([H])c([H])n([H])c2Br)c1[H],Cn1nc(NC(=O)N[*:2])cc1C(C)(C)[*:1],O=[N+]([O-])[*:2]
[H]C1=C([H])C([H])=C(N([H])C2=C([H])C([H])=C(N=NC3=C([H])C([H])=C([H])C(C4=C([H])C([H])=C([N+](=O)[O-])C([H])=C4OC([H])([H])[H])=C3[H])C(N(C3=C([H])C([H])=C(N=NC4=C([H])C([H])=C(S(=O)(=O)N([H])C(=O)N([H])C5([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C5([H])[H])C([H])=C4[H])C([H])=C3[H])C([H])([H])C([H])([H])C([H])([H])[H])=C2[H])C([H])=C1[H],CC[*:2],[H]c1c([H])c([H])c(N([H])c2c([H])c([H])c(/N=N\c3c([H])c([H])c([H])c(Br)c3[H])c(Br)c2[H])c([H])c1[H],O=C(NC1CCCCC1)NS(=O)(=O)c1ccc(N=Nc2ccc(N(C[*:1])[*:2])cc2)cc1,COc1cc([N+](=O)[O-])ccc1[*:2]
[H]C1=C([H])C([H])=C(C(=O)N([H])C(=S)N([H])C2=C([H])C(C#N)=NN2C2=C(Cl)C([H])=C(C(F)(F)F)C([H])=C2Cl)C(N=NC2=C([H])N(C3=C(C4=C([H])C([H])=C([H])C([N+](=O)[O-])=C4[H])C(C(=O)OC([H])([H])C([H])([H])[H])=C(N([H])[H])S3)C(=O)N([H])C2=O)=C1[H],FC(F)(F)[*:2],[H]c1c([H])c([H])c(/N=N\c2c([H])n(Br)c(=O)n([H])c2=O)c(Br)c1[H],N#Cc1cc(NC(=S)NC(=O)[*:1])n(-c2c(Cl)cc([*:2])cc2Cl)n1,CCOC(=O)c1c(N)sc([*:2])c1-c1cccc([N+](=O)[O-])c1
